Единица освещенности.|люкс
Часть некоторых спортивных игр, устанавливаемая по времени, проходящая в определенный период времени.|тайм
Метрическая музыкальная единица - каждая из обычно равных по длительности долей, на которые делится музыкальное произведение в соответствии с числом метрических ударений в нем (в музыке).|такт
Равномерно следующие один за другим движения, удары; ритм.|такт
Часть рабочего цикла механизма.|такт
Чувство меры в поведении, поступках; деликатность.|такт
Грузоподъемное устройство с ручным или моторным приводом.|таль
Боевая бронемашина на гусеничном ходу, вооруженная пушкой и пулеметами, установленными во вращающейся орудийной башне.|танк
Специально оборудованный бак, цистерна, отсек для хранения или транспортировки жидкостей.|танк
То, во что упаковывается товар для хранения или транспортировки.|тара
Вес упаковочных материалов, а также средств перевозки (вагонов, машин и т.п.).|тара
Груз, служащий для уравновешивания сосуда, в котором взвешивается тело.|тара
Народ, живущий в прикаспийской части Азербайджана и на юге Дагестана.|таты
Шерстяная - обычно пестротканая - материя с диагональным переплетением нитей.|твид
Гладкоокрашенная полушерстяная или хлопчатобумажная ткань саржевого переплетения.|твин
Отдельный предмет в пространстве.|тело
Организм человека, животного, растения в его внешних, физических формах.|тело
Труп.|тело
Туловище человека.|тело
Форма, принимаемая в основу склонения или спряжения (в лингвистике).|тема
Степень быстроты исполнения (музыкального произведения, произнесения слов в потоке речи, движений, из которых состоит спортивное упражнение, и т.п.).|темп
Скорость осуществления, протекания (действия, процесса, явления) или интенсивность развития.|темп
Верхняя часть головы; макушка.|темя
Косметическая краска для век.|тени
Навес для защиты от солнца и дождя.|тент
Темное пространство, заставленное, отгороженное куда не проникают лучи света.|тень
Темное отражение, падающее на окружающую поверхность от той стороны предмета, которая не обращена к источнику света.|тень
Три карты одной масти, идущие подряд одна за другой при игре в пикет.|терц
Задание, испытание стандартной формы, по результатам выполнения которых можно судить о способности, предрасположенности и т.п. к а также о знаниях, умениях испытуемого.|тест
Метод исследования, диагностики, заключающийся в пробном воздействии на организм (в физиологии, медицине).|тест
Вопросник, используемый при социологических исследованиях.|тест
Задача с известным решением, предназначенная для проверки правильности работы ЭВМ (в вычислительной технике).|тест
Название буквы греческого алфавита.|тета
Проникновение жидкости сквозь.|течь
Пробоина, щель, через которую проникает жидкость.|течь
Крупное хищное млекопитающее семейства кошачьих оранжево-желтой с черными полосами окраски.|тигр
Название немецкого тяжелого танка периода второй мировой войны.|тигр
Зеленые водоросли, плавающие густой массой в стоячей и малопроточной воде.|тина
Жезл Диониса и его спутников, изображаемый в виде палки, увитой плющом и виноградными листьями и с шишкой пинии на верхнем конце (в древнегреческой мифологии).|тирс
Вступительный или пояснительный текст на кадрах кинофильма.|титр
Концентрация раствора, применяемого в объемном химическом анализе, выраженная в граммах на кубический миллиметр (в аналитической химии).|титр
Характеристика толщины волокон и нитей, устанавливаемая по весу мотка; весовой номер (в текстильной промышленности).|титр
Наименование некоторых должностных лиц (на Руси XI-XVII вв.).|тиун
Двухлетнее травянистое растение семейства зонтичных, пряные семена которого употребляются в кулинарии.|тмин
Мужская верхняя одежда граждан в Древнем Риме.|тога
Вероучение, отступающее от общепринятого.|толк
Разновидность учения, политического направления.|толк
Кровельный материал, изготовленный из особого картона, пропитанного дегтевыми продуктами.|толь
Сочетание различных цветовых оттенков с точки зрения яркости и насыщенности.|тона
Специально оборудованный для ловли рыбы закидным неводом участок водоема.|тоня
Улов рыбы, получаемый при одной закидке невода.|тоня
Топкое, болотистое место; трясина.|топь
Вязкая, жидкая грязь.|топь
Древнееврейское название первых пяти книг Библии; "Пятикнижие Моисеево".|тора
Пергаментный свиток с текстом "Пятикнижия Моисеева", хранимый в синагоге как предмет религиозного культа.|тора
Сделка, соглашение.|торг
Туловище человека.|торс
Скульптурное изображение туловища человека.|торс
Кондитерское изделие из бисквитного, песочного или слоеного теста с кремом, цукатами и т.п.|торт
Плотная масса, представляющая собою скопление остатков растений, подвергшихся неполному разложению в условиях болота, при затрудненном доступе воздуха и большой влажности.|торф
Короткая застольная речь с пожеланием и предложением выпить вина за исполнение этого.|тост
Поджаренный или подсушенный тонкий ломтик хлеба.|тост
Большая мешкообразная сеть для ловли морской рыбы с траулеров.|трал
Устройство для вылавливания и уничтожения подводных мин.|трал
Приспособление для исследования неровностей дна и для захватывания со дна растений и животных.|трал
Лестница на судне.|трап
Передвижная лестница для входа в самолет и выхода из него.|трап
Лестница, ведущая в помещение под сценой (в театре).|трап
Отверстие для стока воды и отвода ее в канализацию.|трап
Аппарат для отделения добываемой из буровой скважины нефти от газа.|трап
Спортивное сооружение для вело- и мотогонок, имеющее круговую трассу с односторонним поперечным уклоном дорожного покрытия.|трек
Шерстяная ворсистая ткань, шерстяной бархат.|трип
Горная долина корытообразной формы, образованная деятельностью ледника.|трог
Широкий ремень, тесьма для укрепления седла, попоны на лошади как принадлежность конской упряжи; подпруга.|трок
Богато отделанное кресло на специальном возвышении как место монарха во время торжественных церемоний.|трон
Слово, оборот речи, употребленные в переносном, иносказательном смысле.|троп
Веревка, канат из растительного или искусственного волокна, а также из стальной проволоки.|трос
Разновидность аллюра, короткая рысь.|трот
Целесообразная деятельность человека, работа, требующая умственного или физического напряжения, затраты физической или умственной энергии.|труд
Усилие, старание, направленное на достижение.|труд
Результат деятельности, произведение, создание.|труд
Название школьного учебного предмета.|труд
Мертвое тело человека или животного.|труп
Эффектный прием, искусный маневр.|трюк
Внутреннее помещение корабля между палубой и днищем, используемое для размещения груза, котлов, двигателей и т.п.|трюм
Помещение под сценой в театре.|трюм
Самый низкий по регистру духовой медный музыкальный инструмент, состоящий из ряда цилиндрических и конических трубок с раструбом.|туба
Большой тюбик.|туба
Буксирное судно, идущее при помощи подтягивания цепи или троса, проложенного по дну реки.|туер
Минеральное удобрение.|туки
Многолетнее растение семейства кактусовых с пластинами ветвей овальной формы и съедобными плодами.|туна
Тропическое дерево, культивируемое в Восточной Азии и на Кавказе, из семян которого добывается техническое масло.|тунг
Освежеванное и выпотрошенное тело убитого животного.|туша
Черная или цветная водяная краска специального приготовления, не пропитывающая бумагу, не расплывающаяся и быстро высыхающая, употребляемая для черчения, рисования и письма.|тушь
Вспомогательные войсковые части, соединения, расположенные позади действующих и обеспечивающие их всем необходимым для жизни и боевых действий.|тылы
Тонкая сетчатая - гладкая или с узорами - ткань.|тюль
Примитивное кушанье из крошеного в квас или в воду хлеба с солью.|тюря
Тянущая, движущая сила.|тяга
Совокупность машин, технических устройств, обеспечивающих эксплуатацию подвижного состава на железнодорожном транспорте.|тяга
Движение газов, дыма, вызываемое разностью давления.|тяга
Стержень, передающий тянущую силу от одного механизма в другой.|тяга
Брус, соединяющий, стягивающий части машины или иных устройств.|тяга
Брачный полет самцов вальдшнепа, отыскивающих самок.|тяга
Бог полей и лесов, покровитель скотоводства (в древнеримской мифологии).|фавн
Лесной полубог (в древнеримской мифологии).|фавн
Цепкохвостая обезьяна рода капуцинов.|фавн
Вирусы, поражающие бактерии.|фаги
Период, стадия, этап в развитии.|фаза
Само положение, форма чего в данный момент; фазис.|фаза
Величина, характеризующая состояние процесса в каждый момент времени (в физике).|фаза
Однородная часть неоднородной системы (в химии).|фаза
Отдельная группа обмоток генератора, а также присоединенный к ней провод, передающий электрический ток (в электротехнике).|фаза
Специально организованная структура данных во внешней памяти ЭВМ.|файл
Трикотажное переплетение одинакового вида с лицевой и обратной стороны.|фанг
Электрический фонарь с отражателем в передней части автомобиля, локомотива и т.п., освещающий путь.|фара
Театральная пьеса легкого, игривого, нередко фривольного содержания с широким использованием внешних комических эффектов.|фарс
Измельченное мясо, используемое для котлет, паштетов и т.п.|фарш
Любая мелко изрубленная начинка для кушаний.|фарш
Легкое женское покрывало из кисеи, шелка, кружев и т.п., закрывающее голову и верхнюю часть тела, как часть свадебного наряда невесты.|фата
Недостаток, повреждение древесины (наличие сучков, гниль и т.п.).|фаут
Название буквы древней славянской или старой русской азбуки.|ферт
Наилучший сорт плотного, тонкого войлока, идущий на изготовление шляп, обуви и т.п.|фетр
Чаша в виде широкой бутыли с горлышком (у древних греков).|фиал
Субтропическое дерево семейства тутовых; фиговое дерево, смоковница.|фига
Родовая единица, равная племени (в Древней Греции при первобытно-общинном строе).|фила
Территориальная единица (в Древней Греции при рабовладельческом строе).|фила
Обманное движение, ложный выпад (в спорте).|финт
Крупнозернистый плотный снег в верховьях ледников, образовавшийся от частого замерзания и оттаивания и постепенно превращающийся в лед.|фирн
Название буквы древней славянской или старой русской азбуки.|фита
Одноцветное или нескольких цветов полотнище определенного размера, одной стороной прикрепленное к древку или шнуру (обычно с эмблемой страны или государства).|флаг
Кусок ткани определенной формы и окраски, прикрепляемый к древку и являющийся знаком.|флаг
Печатная бумага в листах, не в рулонах.|флат
Прозрачная, редкая, обычно шелковая ткань.|флер
Кусок, обрезок кожи для сборного каблука.|флик
Совокупность всех видов судов страны или организации.|флот
Острое гнойное воспаление десны или надкостницы, сопровождающееся отеком окружающих тканей.|флюс
Вещество, добавляемое в шихту доменной печи для понижения температуры плавления и для очищения руды от имеющихся примесей; плавень.|флюс
Вещество, применяемое при сварке, лужении, пайке и т.п. для растворения образующихся окислов.|флюс
Легкоплавкое вещество, заполняющее при обжиге поры глиняных и фарфоровых изделий.|флюс
Должностное лицо, ведавшее определенным административным округом, обычно в церковной или монастырской вотчине (в Западной Европе в средние века).|фогт
Денежные средства государства, предприятия.|фонд
Запасы, ресурсы.|фонд
Организация, учрежденная для оказания материальной помощи социальным слоям или группам населения.|фонд
Общественная организация, ведающая сбором и распределением средств на определенные общественные нужды.|фонд
Заранее обусловленное преимущество (в некоторых играх, состязаниях).|фора
Название легкового автомобиля, поставляемого американским автомобильным трестом в СССР в 30-е годы.|форд
Отдельное или входящее в систему крепостных сооружений укрепление, способное к самостоятельной обороне.|форт
Мужской вечерний костюм особого покроя - короткий с вырезанными полами спереди и с длинными фалдами сзади.|фрак
Верхняя часть сооружения в виде полосы между главной балкой и карнизом, обычно украшенная рисунком (в архитектуре).|фриз
Широкий бордюр стены, ковра.|фриз
Выступ на верхней или нижней части столярного изделия.|фриз
Украшение на артиллерийском орудии.|фриз
Химический элемент, светло-желтый ядовитый газ с едким запахом.|фтор
Одна из основных музыкальных форм многоголосного стиля, заключающаяся в последовательном вступлении нескольких голосов, исполняющих ту же тему.|фуга
Случайно выигранный шар, неожиданная удача (в бильярдной игре).|фукс
Студент-первокурсник в Германии.|фукс
Русская единица веса, равная 409.5 г (применявшаяся до введения метрической системы мер).|фунт
Мера веса в странах с английской системой мер (в Англии, Бельгии и т.п.), равная 453.6 г.|фунт
Большая, длинная телега для клади.|фура
Паломничество в Мекку к мусульманской святыне Каабе или в Медину к гробу Мухаммеда, считающееся у мусульман подвигом благочестия.|хадж
Витой продолговатой формы батон белого хлеба; плетенка.|хала
Беспорядочная материя, неорганизованная стихия, зияющая бездна, наполненная туманом и мраком, из которой - по древним мифологическим представлениям - впоследствии образовалось все существующее.|хаос
Полное отсутствие порядка; путаница.|хаос
Скопление, нагромождение.|хаос
Беспорядок, неразбериха в помещении, в жилье и т.п.|хаос
Крестьянский дом - бревенчатый или мазанка - в украинской или южнорусской деревне.|хата
Многолетнее споровое травянистое растение с зелеными стеблями и очень мелкими чешуйчатыми листьями, сросшимися в кольца.|хвощ
Узкие и упругие в виде иглы листья некоторых пород деревьев.|хвоя
Негодные, старые вещи; рухлядь.|хлам
Продукт, выпекаемый из муки.|хлеб
Изделие из муки определенной формы (буханка, батон, каравай и т.п.).|хлеб
Растения на корню, из зерен которых изготавливаются мука и крупы; злаки.|хлеб
Пропитание, пища.|хлеб
Специальное помещение для домашнего скота.|хлев
Химический элемент, удушливый газ, употребляющийся в технике, санитарии и т.п. как отравляющее или обеззараживающее средство.|хлор
Помещение в общественных зданиях, предназначенное для ожидания, отдыха, встреч.|холл
Большая передняя в квартире, доме.|холл
Небольшая возвышенность - обычно округлой или овальной формы - с пологими склонами.|холм
Борзая собака (обычно гладкошерстная).|хорт
Открытая галерея, балкон в верхней части парадного зала или церковного здания (первоначально предназначавшиеся для размещения хора, музыкантов).|хоры
Здание для богослужения; церковь.|храм
Упор для остановки или регулирования движущихся частей механизма.|храп
Брус или развилина, которыми подпирают повозку при подъеме в гору.|храп
Крюк или клещи для поднятия тяжестей.|храп
Прибор для взятия пробы грунта со дна водоема.|храп
Травянистое овощное растение семейства крестоцветных с большим разветвленным корневищем, горьким и едким на вкус.|хрен
Речь, рассуждение, составленные по заданным правилам (в риторике).|хрия
Химический элемент, твердый серебристый металл, употребляемый при изготовлении твердых сплавов, красок и т.п.|хром
Разновидность желтой краски.|хром
Жук семейства пластинчатоусых, вредитель леса.|хрущ
Майский жук.|хрущ
Самец свиньи.|хряк
местн. Самец свиньи, кабан, кастрированный для откармливания на убой; боров.|хряк
Гибкая и упругая ткань, соединяющая части скелета, кости, а у некоторых животных - составляющая самый скелет.|хрящ
Окраска, световой тон.|цвет
Сочетание красок в картине; колорит, тон (в живописи).|цвет
Предмет, место, в которое направляют выстрел, бросок, удар.|цель
Стоимость выраженная в денежных единицах.|цена
Условие, ограничивающее допущение лица к осуществлению определенных политических прав.|ценз
Условие, необходимое для внесения предприятия в определенный список, реестр.|ценз
Статистическая перепись.|ценз
Периодическая оценка имущества граждан Древнего Рима для соответствующего разделения их на податные разряды.|ценз
Мелкая разменная монета некоторых стран, равная одной сотой доллара (в США, Канаде) или одной сотой гульдена (в Нидерландах).|цент
Оковы, кандалы, железные кольца, скрепленные цепями.|цепи
Ряд соединенных между собою металлических замкнутых звеньев.|цепь
Совокупность, состоящая из ряда, вереницы следующих или расположенных друг за другом лиц, предметов.|цепь
Название устройств, физических явлений, образующих некоторую линию.|цепь
Бесцветный газ с горьким запахом, состоящий из азота и углерода.|циан
Совокупность взаимосвязанных явлений, процессов, работ, образующих законченный круг развития в течение промежутка времени.|цикл
Определенная группа наук, дисциплин, объединенных по общему принципу.|цикл
Законченный ряд произведений, излагаемого, исполняемого.|цикл
Химический элемент, ковкий металл синевато-белого цвета.|цинк
Вид искусства, включающий в себя выступления акробатов, эквилибристов, жонглеров, клоунов, дрессированных животных и т.п.|цирк
Место для конных состязаний и соревнований колесниц, для травли животных, боев гладиаторов, кулачных боев и т.п. в Древнем Риме.|цирк
Естественное чашеобразное углубление (обычно в гребневой части гор); кар.|цирк
Грибной нарост на дереве черного или черно-бурого цвета.|чага
Волшебство, колдовство.|чары
Прибор, механизм, предназначенный для измерения времени.|часы
Педагогические занятия, уроки.|часы
Срок дежурства, стояние на карауле.|часы
Старинный пиршественный сосуд для вина в форме полушария.|чаша
Густой, трудно проходимый лес; заросли.|чаща
Стержень, клин, вкладываемый в отверстие осей или болтов.|чека
Деталь, закрепляющая взрыватель ручной гранаты для предохранения ее от преждевременного взрыва.|чека
Сводчатое отверстие в передней части русской печи.|чело
Отверстие в плавильной печи, через которое бросается топливо.|чело
Входное отверстие берлоги.|чело
Супружеская пара.|чета
Небольшая лодка, выдолбленная из одного куска дерева.|челн
Любая лодка.|челн
Сверхъестественное существо, олицетворяющее собою злой дух, злое начало мира; Дьявол, Сатана (обычно в образе человека, но с рогами, хвостом и копытами).|черт
Травянистое растение семейства бобовых.|чина
Отдельный элемент единого целого, одна из многих частей, в совокупности своей составляющих целое.|член
Отдельный орган тела человека или животного (обычно о конечности).|член
Служебное слово, придающее тому слову, к которому оно относится, определенный или неопределенный смысл, а иногда обладающее и иными грамматическими функциями (в лингвистике).|член
Отдельное знаменательное слово в составе предложения.|член
Отдельная математическая величина из числа составляющих пропорцию или уравнение (в математике).|член
Явление, противоречащее законам природы и не объяснимое ими, но возможное - по суеверным представлениям - вследствие вмешательства потусторонней силы.|чудо
Нечто небывалое, сверхъестественное, фантастическое.|чудо
Предмет, явление, действие, вызывающее общее удивление своею необычностью.|чудо
Сказочное существо (обычно с определением).|чудо
Общее название финских племен у славян.|чудь
Тяжелое инфекционное заболевание.|чума
Пеньковые веревочные лапти.|чуни
Рабочая обувь в виде галош без подкладки с утолщенными бортами и подошвами, которые надевают на необутую ногу.|чуни
Звуки, возникающие при движением ногами при ходьбе, беге.|шаги
Неочищенный рис.|шала
Большой вязаный или тканый платок.|шаль
Условие, которое может обеспечить успех, удачу.|шанс
Обаяние, очарование.|шарм
Предмет одежды в виде длинной матерчатой или вязаной полосы, которым укрывают шею, голову, плечи.|шарф
Работница швейного производства, занимающаяся только шитьем (но не кроем или иными процессами швейного дела).|швея
Современный английский бальный танец, возникший как парный бытовой танец импровизационного характера.|шейк
Титул правителей княжеств и вождей кочевых племен в Аравии.|шейх
Представитель высшего мусульманского духовенства; богослов.|шейх
Почтенный человек.|шейх
Минерал, черная непрозрачная разновидность турмалина.|шерл
Длинная тонкая палка.|шест
Специальное приспособление, используемое в спорте в качестве опоры для прыжков в высоту на 3 м и выше.|шест
Гимнастический снаряд для упражнений в лазании в виде висячей длинной круглой палки.|шест
Обруч, надеваемый на обод колеса с целью уменьшить износ колеса или смягчить толчки.|шина
Электрический проводник в виде металлической полосы.|шина
Приспособление для наложения повязки, обеспечивающей неподвижность и покой поврежденной части тела.|шина
Широкое пространство, широкий простор.|ширь
Система знаков для секретного письма.|шифр
Условный библиотечный регистрационный знак на книгах, рукописях и т.п., определяющий их место при хранении.|шифр
Сочетание определенных букв и цифр, с помощью которого можно открыть или закрыть устройство; код.|шифр
Предмет мебели в виде высокого стоячего ящика с дверцами, служащий для хранения.|шкаф
Специальное устройство в виде закрывающейся коробки - со створками или с дверцей, предназначенное для целей (сушки, выпечки и т.п.).|шкаф
Колесо, которое дает движение приводному ремню или канату.|шкив
Колесико с желобом в блоке (в морском деле).|шкив
Судовая снасть, которой растягивают паруса и управляют ими во время хода судна.|шкот
Оборот снасти, троса вокруг (в морском деле).|шлаг
Расплавленная или застывшая масса различных примесей, золы и флюсов, являющаяся побочным продуктом при различных металлургических процессах.|шлак
Остаток от сжигания твердого топлива.|шлак
Осадок, отложение в виде очень мелких твердых частиц, выделяющихся при отстаивании, фильтрации и т.п. жидкости.|шлам
Мелко измельченная горная порода, руда и т.п., образующаяся при дроблении, бурении и т.п.|шлам
Старинный воинский металлический головной убор, защищавший от ударов холодным оружием.|шлем
Головной убор особого покроя у военных и спортсменов, закрывающий голову и шею.|шлем
Специальный головной убор, предохраняющий голову от ранений, ушибов, давления, лучей тропического солнца и т.п.|шлем
Положение, при котором противник получил менее положенного числа взяток (в карточных играх).|шлем
Часть сбруи в виде ремня, идущего от хомута вокруг туловища лошади и скрепленного поперечными ремнями, идущими через спину.|шлея
Разновидность широких лямок, заменяющих хомут в шорной упряжи.|шлея
Широкий ремень, охватывающий грудь лошади и заправленный под подпругу.|шлея
Сгусток стекла иного - чем вся стекольная масса - состава.|шлир
Концентрат частиц тяжелых минералов, получаемый в результате промывки рыхлых или измельченных горных пород и руд.|шлих
Золотоносный или платиноносный песок, для удаления примесей подвергшийся просеиванию и промывке.|шлих
Разрез на спинке или на боках пиджака, на юбке.|шлиц
Старинный головной убор русских замужних женщин; род высокого повойника.|шлык
местн. Шапка, шляпа (обычно с оттенком пренебрежительности).|шлык
Гидротехническое сооружение, позволяющее переводить суда из одного водного пространства в другое, имеющее отличный от первого уровень воды.|шлюз
Отверстие с затвором в плотине для выпуска воды.|шлюз
Приспособление в виде широкого наклонного лотка или желоба для промывки золотоносного песка или измельченной руды.|шлюз
Сооружение для перехода горноспасателей из выработки с нормальной атмосферой в изолированное перемычками пространство.|шлюз
Трехмачтовый корабль с прямыми парусами в парусном флоте XVIII-XIX вв.|шлюп
Морское одномачтовое судно с двумя парусами (главным образом спортивное).|шлюп
Сторожевой корабль для охраны транспортных караванов в некоторых современных военно-морских флотах.|шлюп
Транспортер для перемещения сыпучих, кусковых, жидких или тестообразных грузов, состоящий из желоба с вращающимся на нем валом.|шнек
Тонкая крученая веревка из мягкой пряжи.|шнур
Электрический провод.|шнур
Конская упряжь без дуги и хомута.|шоры
Боковые щитки на уздечке возле глаз, не дающие возможности пугливому животному глядеть по сторонам.|шоры
Порок скакательного сустава лошади, заключающийся в наличии костного нароста внутри и являющийся результатом хронического деформирующего остеоартрита.|шпат
Подкожное свиное соленое сало как кушанье.|шпик
Одна из пород комнатно-декоративных собак со стоячими треугольными ушами и густой пушистой белой, серебристо-серой или черной шерстью.|шпиц
Пробельный материал в виде тонкой металлической пластинки, не достигающей высоты шрифта, служащий для увеличения промежутков между строками в наборе (в полиграфии).|шпон
Тонкий лист древесины; однослойная, не клеенная фанера.|шпон
Прокладочный материал для уплотнения, разделения и т.п.|шпон
Нижний конец мачты, стеньги (в морском деле).|шпор
Цилиндрическое узкое отверстие, пробуриваемое в горных породах и наполняемое взрывчатым веществом для взрыва массива породы (в горном деле).|шпур
Отверстие в горне шахтной печи для выпуска жидких продуктов плавки (в металлургии).|шпур
След на коже от зажившей раны; рубец.|шрам
Побочный продукт, получаемый при извлечении масла из измельченных семян различных масличных культур и используемый в перемолотом виде как корм для скота.|шрот
Орган управления войсками (в частях, соединениях и объединениях всех видов вооруженных сил).|штаб
